sample,cell_line,library_type,assay_category,conversion_method,analyte,vcf_gz,vcf_gz_tbi,revelio_bam,revelio_bam_bai,sorted_bam,markdup_metrics,status
CoB_08L_3A2_DNA-EM,CoB,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.markdup_metrics.txt,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.markdup_metrics.txt,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.markdup_metrics.txt,complete
CoM_08M_3A2_DNA-EM,CoM,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.markdup_metrics.txt,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.markdup_metrics.txt,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.markdup_metrics.txt,complete
HT29_21S_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.markdup_metrics.txt,complete
HT29_21T_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.markdup_metrics.txt,complete
HT29_21W_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.markdup_metrics.txt,complete
HT29_21X_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.revelio.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.revelio.sorted.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.sorted.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.markdup_metrics.txt,complete
