sample,cell_line,library_type,assay_category,conversion_method,analyte,methylation_vcf_gz,methylation_vcf_gz_tbi,markdup_bam,markdup_bam_bai,markdup_metrics,status
CoB_08L_3A2_DNA-EM,CoB,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.markdup_metrics.txt,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.markdup_metrics.txt,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.markdup_metrics.txt,complete
CoM_08M_3A2_DNA-EM,CoM,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.markdup_metrics.txt,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.markdup_metrics.txt,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.markdup_metrics.txt,complete
HT29_21S_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.markdup_metrics.txt,complete
HT29_21T_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.markdup_metrics.txt,complete
HT29_21W_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.markdup_metrics.txt,complete
HT29_21X_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.methylation.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.methylation.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.markdup.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.markdup.bam.bai,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p2_dna_meth/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.markdup_metrics.txt,complete
