sample,cell_line,library_type,assay_category,conversion_method,analyte,cna_seg,seg,seg_txt,correctedDepth_txt,params_txt,RData,wig,filter_stats_txt,pct_exonic_removed,total_segments,status
CoB_08L_3A2_DNA-EM,CoB,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.filter_stats.txt,4.4,23,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.filter_stats.txt,5.0,23,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.filter_stats.txt,5.3,23,complete
CoM_08M_3A2_DNA-EM,CoM,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.filter_stats.txt,4.6,35,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.filter_stats.txt,5.0,35,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.filter_stats.txt,5.1,35,complete
HT29_21S_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.filter_stats.txt,6.9,41,complete
HT29_21T_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.filter_stats.txt,3.1,46,complete
HT29_21W_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.filter_stats.txt,3.1,46,complete
HT29_21X_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.wig,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv_exon_filtered/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.filter_stats.txt,3.0,42,complete
