sample,cell_line,library_type,assay_category,conversion_method,analyte,vcf_gz,vcf_gz_tbi,revelio_bam,revelio_bam_bai,status
CoB_02W_1A3_1RNA,CoB,RNA-Seq,single_analyte,none,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_02W_1A3_1RNA/CoB_02W_1A3_1RNA.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_02W_1A3_1RNA/CoB_02W_1A3_1RNA.bcftools.vcf.gz.tbi,,,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.revelio.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.revelio.bam.bai,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.vcf.gz.tbi,,,complete
CoB_09D_3A2_RNA-mRT-EM,CoB,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_09D_3A2_RNA-mRT-EM/CoB_09D_3A2_RNA-mRT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_09D_3A2_RNA-mRT-EM/CoB_09D_3A2_RNA-mRT-EM.vcf.gz.tbi,,,complete
CoB_09J_3A2_RNA-RT-EM,CoB,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_09J_3A2_RNA-RT-EM/CoB_09J_3A2_RNA-RT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoB_09J_3A2_RNA-RT-EM/CoB_09J_3A2_RNA-RT-EM.vcf.gz.tbi,,,complete
CoM_02V_1A3_1RNA,CoM,RNA-Seq,single_analyte,none,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_02V_1A3_1RNA/CoM_02V_1A3_1RNA.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_02V_1A3_1RNA/CoM_02V_1A3_1RNA.bcftools.vcf.gz.tbi,,,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.bcftools.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.bcftools.vcf.gz.tbi,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.revelio.bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.revelio.bam.bai,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.vcf.gz.tbi,,,complete
CoM_09E_3A2_RNA-mRT-EM,CoM,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_09E_3A2_RNA-mRT-EM/CoM_09E_3A2_RNA-mRT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_09E_3A2_RNA-mRT-EM/CoM_09E_3A2_RNA-mRT-EM.vcf.gz.tbi,,,complete
CoM_09K_3A2_RNA-RT-EM,CoM,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_09K_3A2_RNA-RT-EM/CoM_09K_3A2_RNA-RT-EM.vcf.gz,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p5_rna_snp/CoM_09K_3A2_RNA-RT-EM/CoM_09K_3A2_RNA-RT-EM.vcf.gz.tbi,,,complete
