sample,fastq_1,fastq_2,single_end,pipeline,cell_line,assay_category
CoB_08R_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R2.cutadapt.fastq,false,P1_DNA_SNP,CoB,mTNA
CoB_08R_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R2.cutadapt.fastq,false,P2_DNA_Meth,CoB,mTNA
CoB_08R_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_unbarcoded_R2.cutadapt.fastq,false,P3_CNV,CoB,mTNA
CoB_08R_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_barcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_barcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_barcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_barcoded_R2.cutadapt.fastq,false,P4_RNA_Counts,CoB,mTNA
CoB_08R_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_barcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_barcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L001_barcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoB_08R_3A2_TNA-mRT-EM_S3_L002_barcoded_R2.cutadapt.fastq,false,P5_RNA_SNP,CoB,mTNA
CoM_08S_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R2.cutadapt.fastq,false,P1_DNA_SNP,CoM,mTNA
CoM_08S_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R2.cutadapt.fastq,false,P2_DNA_Meth,CoM,mTNA
CoM_08S_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_unbarcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_unbarcoded_R2.cutadapt.fastq,false,P3_CNV,CoM,mTNA
CoM_08S_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_barcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_barcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_barcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_barcoded_R2.cutadapt.fastq,false,P4_RNA_Counts,CoM,mTNA
CoM_08S_3A2_TNA-mRT-EM,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_barcoded_R1.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_barcoded_R1.cutadapt.fastq,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L001_barcoded_R2.cutadapt.fastq;s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley26/results/rna_deconvolution/cutadapt/CoM_08S_3A2_TNA-mRT-EM_S4_L002_barcoded_R2.cutadapt.fastq,false,P5_RNA_SNP,CoM,mTNA
HT29_21S_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21S_3A2_bsTNA-HP_S7_unbarcoded.cutadapt.fastq,,true,P1_DNA_SNP,HT29,HairyTNA
HT29_21S_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21S_3A2_bsTNA-HP_S7_unbarcoded.cutadapt.fastq,,true,P2_DNA_Meth,HT29,HairyTNA
HT29_21S_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21S_3A2_bsTNA-HP_S7_unbarcoded.cutadapt.fastq,,true,P3_CNV,HT29,HairyTNA
HT29_21S_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21S_3A2_bsTNA-HP_S7_barcoded.cutadapt.fastq,,true,P4_RNA_Counts,HT29,HairyTNA
HT29_21S_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21S_3A2_bsTNA-HP_S7_barcoded.cutadapt.fastq,,true,P5_RNA_SNP,HT29,HairyTNA
