sample,bam,bai,pipeline,cell_line,assay_category,single_end
# P5 RNA SNP uses BAMs from completed P4
# BAI will be generated by pipeline
# SingleAnalyte (paired-end)
CoB_02W_1A3_1RNA,/data/rna_bams/CoB_02W_1A3_1RNA.Aligned.sortedByCoord.out.bam,,P5,CoB,SingleAnalyte,false
CoM_02V_1A3_1RNA,/data/rna_bams/CoM_02V_1A3_1RNA.Aligned.sortedByCoord.out.bam,,P5,CoM,SingleAnalyte,false
HT29_02T_1A3_1RNA,/data/rna_bams/HT29_02T_1A3_1RNA.Aligned.sortedByCoord.out.bam,,P5,HT29,SingleAnalyte,false
# mTNA (paired-end)
CoB_08R_3A2_TNA-mRT-EM,/data/rna_bams/CoB_08R_3A2_TNA-mRT-EM.Aligned.sortedByCoord.out.bam,,P5,CoB,mTNA,false
CoM_08S_3A2_TNA-mRT-EM,/data/rna_bams/CoM_08S_3A2_TNA-mRT-EM.Aligned.sortedByCoord.out.bam,,P5,CoM,mTNA,false
# HairyTNA (single-end)
HT29_21S_3A2_bsTNA-HP,/data/rna_bams/HT29_21S_3A2_bsTNA-HP.Aligned.sortedByCoord.out.bam,,P5,HT29,HairyTNA,true
HT29_21T_3A2_bsTNA-HP,/data/rna_bams/HT29_21T_3A2_bsTNA-HP.Aligned.sortedByCoord.out.bam,,P5,HT29,HairyTNA,true
HT29_21U_3A2_bsRNA-HP,/data/rna_bams/HT29_21U_3A2_bsRNA-HP.Aligned.sortedByCoord.out.bam,,P5,HT29,HairyTNA,true
HT29_21V_3A2_bsRNA-HP,/data/rna_bams/HT29_21V_3A2_bsRNA-HP.Aligned.sortedByCoord.out.bam,,P5,HT29,HairyTNA,true
